"system","code","display","count"
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.59",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.65",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.87",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.91",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.00",,104
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.91",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.89",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.99",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.49",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.51",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.39",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.54",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.10",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.55",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.89",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.99",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.45",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.93",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.30",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.10",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.94",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.04",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.07",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.90",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.58",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.14",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.69",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.29",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.60",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.80",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.48",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.42",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.12",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.52",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.46",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.55",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.54",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.16",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.95",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.66",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.24",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.33",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.82",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.9",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.56",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.05",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.18",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.85",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.57",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.82",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.03",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.39",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.56",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.57",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.28",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.14",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.02",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.87",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.21",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.34",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.01",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.48",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.17",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.13",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.38",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.47",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.67",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.02",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.86",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.00",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.97",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.88",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.27",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.35",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.33",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.09",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.40",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.81",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.04",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.59",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.85",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.12",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.35",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.03",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.84",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.90",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.27",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.34",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.44",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.51",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.93",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.05",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.81",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","J69.8",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","G62.1",,1
